"Employee #","EmailAddress","UserName","PasswordHash","Role","Status"
"10023","vella.santos.10023@motorph.com","10023","$2a$10$zzSn75dEitPZbEQyL6mvReLE2tU2eSqh2W8vYbm5z/xUQXJpH1G8S","EMPLOYEE","ACTIVE"
"10024","tomas.delrosario.10024@motorph.com","10024","$2a$10$8iqB8unoTcZOxdixE2gUT.TMoPyDnb1O.AD42IrP.156obb0.bIym","EMPLOYEE","ACTIVE"
"10025","jacklyn.tolentino.10025@motorph.com","10025","$2a$10$baudyT.kYPyURMqGWslxL.U6I/EvMJ.T6pGTTyfrQYXKrqMDUMraq","EMPLOYEE","ACTIVE"
"10026","percival.gutierrez.10026@motorph.com","10026","$2a$10$H53KUi4.g/hu.a/vUXcjEOqb4SJXs/jU8SRVq1jdEeuE8lKxTNxvq","EMPLOYEE","ACTIVE"
"10027","garfield.manalaysay.10027@motorph.com","10027","$2a$10$ZywYTAVhSS5l.5FxVPu2n.KD7rmosvGSq1fy/unwV7UyY55ASJS8e","EMPLOYEE","ACTIVE"
"10028","lizeth.villegas.10028@motorph.com","10028","$2a$10$pV9yz790TSD0julPKkyPlua9Fio/2NF7W860HKOSl1mIIgWfBSY26","EMPLOYEE","ACTIVE"
"10029","carol.ramos.10029@motorph.com","10029","$2a$10$9MCqdyimgjthQdBNJUSZL.RcH..f0ukbrHW04ZTlq3AiuGCDMKMIe","EMPLOYEE","ACTIVE"
"10030","emelia.maceda.10030@motorph.com","10030","$2a$10$0G.deg.4qHkHpXe.S8l00.8qXDaqRa2ciIFnbPbshBTpoGLMRe8oK","EMPLOYEE","ACTIVE"
"10031","delia.aguilar.10031@motorph.com","10031","$2a$10$EZ8cISstCxqMkFztMEhKDuMdBsPvWu2oloirLnzBO8hPhwYcDz0lq","EMPLOYEE","ACTIVE"
"10032","johnrafael.castro.10032@motorph.com","10032","$2a$10$0Qlv2xgjIQCS034uvECD3edoo/2nUX2YCVUjlwrhimoXgeVRITbZS","EMPLOYEE","ACTIVE"
"10033","carlosian.martinez.10033@motorph.com","10033","$2a$10$JOkp9CB4VMvI2ojvgFGu0OTNnaGM5Oj92zBH1uYq7uVdxw3UYQNnO","EMPLOYEE","ACTIVE"
"10034","beatriz.santos.10034@motorph.com","10034","$2a$10$KA5016KQcb3NCe9gTnt.3.bFXizjJVEJ7/ZXrD1myPK8Pcb7w/1U2","EMPLOYEE","ACTIVE"
